Precinct,CrimeName,CrimeCount
1,ASSAULT 3 AND RELATED OFFENSES,76
1,BURGLARY,1
1,DISORDERLY CONDUCT,1
1,FELONY ASSAULT,22
1,HARRASSMENT 2,69
1,KIDNAPPING AND RELATED OFFENSES,1
1,OFF. AGNST PUB ORD SENSBLTY AND,11
1,OFFENSES AGAINST THE PERSON,2
1,ROBBERY,22
1,SEX CRIMES,18
5,ASSAULT 3 AND RELATED OFFENSES,27
5,DANGEROUS WEAPONS,1
5,DISORDERLY CONDUCT,2
5,FELONY ASSAULT,5
5,HARRASSMENT 2,25
5,MISCELLANEOUS PENAL LAW,3
5,OFF. AGNST PUB ORD SENSBLTY AND,4
5,OFFENSES AGAINST THE PERSON,1
5,ROBBERY,9
5,SEX CRIMES,12
6,ARSON,1
6,ASSAULT 3 AND RELATED OFFENSES,51
6,DISORDERLY CONDUCT,1
6,FELONY ASSAULT,8
6,HARRASSMENT 2,23
6,MISCELLANEOUS PENAL LAW,1
6,OFF. AGNST PUB ORD SENSBLTY AND,6
6,OFFENSES AGAINST THE PERSON,2
6,RAPE,1
6,ROBBERY,6
6,SEX CRIMES,5
7,ASSAULT 3 AND RELATED OFFENSES,17
7,FELONY ASSAULT,5
7,HARRASSMENT 2,19
7,OFF. AGNST PUB ORD SENSBLTY AND,2
7,OFFENSES AGAINST THE PERSON,1
7,ROBBERY,4
7,SEX CRIMES,1
9,ASSAULT 3 AND RELATED OFFENSES,11
9,FELONY ASSAULT,2
9,HARRASSMENT 2,10
9,MISCELLANEOUS PENAL LAW,3
9,OFF. AGNST PUB ORD SENSBLTY AND,3
9,OFFENSES AGAINST THE PERSON,1
9,ROBBERY,4
9,SEX CRIMES,6
10,ASSAULT 3 AND RELATED OFFENSES,1
10,FELONY ASSAULT,9
10,HARRASSMENT 2,5
10,OFF. AGNST PUB ORD SENSBLTY AND,1
10,OFFENSES AGAINST THE PERSON,1
10,ROBBERY,1
10,SEX CRIMES,1
13,ASSAULT 3 AND RELATED OFFENSES,14
13,BURGLARY,1
13,DANGEROUS WEAPONS,3
13,FELONY ASSAULT,3
13,HARRASSMENT 2,13
13,MISCELLANEOUS PENAL LAW,3
13,OFF. AGNST PUB ORD SENSBLTY AND,1
13,OFFENSES AGAINST THE PERSON,1
13,RAPE,1
13,ROBBERY,3
13,SEX CRIMES,2
14,ASSAULT 3 AND RELATED OFFENSES,85
14,BURGLARY,1
14,DANGEROUS WEAPONS,1
14,DISORDERLY CONDUCT,2
14,FELONY ASSAULT,25
14,HARRASSMENT 2,67
14,MISCELLANEOUS PENAL LAW,2
14,OFF. AGNST PUB ORD SENSBLTY AND,11
14,OFFENSES AGAINST THE PERSON,6
14,ROBBERY,14
14,SEX CRIMES,17
17,ASSAULT 3 AND RELATED OFFENSES,43
17,FELONY ASSAULT,8
17,HARRASSMENT 2,24
17,ROBBERY,1
17,SEX CRIMES,20
18,ARSON,1
18,ASSAULT 3 AND RELATED OFFENSES,70
18,BURGLARY,1
18,DANGEROUS WEAPONS,2
18,FELONY ASSAULT,20
18,HARRASSMENT 2,50
18,MISCELLANEOUS PENAL LAW,3
18,OFF. AGNST PUB ORD SENSBLTY AND,7
18,OFFENSES AGAINST THE PERSON,3
18,ROBBERY,15
18,SEX CRIMES,14
19,ASSAULT 3 AND RELATED OFFENSES,4
19,FELONY ASSAULT,8
19,HARRASSMENT 2,7
19,MISCELLANEOUS PENAL LAW,1
19,OFF. AGNST PUB ORD SENSBLTY AND,2
19,OFFENSES AGAINST THE PERSON,5
19,ROBBERY,8
19,SEX CRIMES,14
20,ASSAULT 3 AND RELATED OFFENSES,28
20,BURGLARY,2
20,FELONY ASSAULT,5
20,HARRASSMENT 2,21
20,OFF. AGNST PUB ORD SENSBLTY AND,2
20,ROBBERY,2
20,SEX CRIMES,6
23,ASSAULT 3 AND RELATED OFFENSES,6
23,FELONY ASSAULT,4
23,HARRASSMENT 2,3
23,OFF. AGNST PUB ORD SENSBLTY AND,1
23,ROBBERY,1
23,SEX CRIMES,2
24,ASSAULT 3 AND RELATED OFFENSES,1
24,DANGEROUS WEAPONS,1
24,DISORDERLY CONDUCT,1
24,FELONY ASSAULT,2
24,HARRASSMENT 2,4
24,MISCELLANEOUS PENAL LAW,2
24,OFF. AGNST PUB ORD SENSBLTY AND,2
24,ROBBERY,9
24,SEX CRIMES,5
25,ASSAULT 3 AND RELATED OFFENSES,27
25,DISORDERLY CONDUCT,1
25,FELONY ASSAULT,7
25,HARRASSMENT 2,23
25,OFFENSES AGAINST THE PERSON,3
25,ROBBERY,1
25,SEX CRIMES,7
26,ASSAULT 3 AND RELATED OFFENSES,35
26,FELONY ASSAULT,9
26,HARRASSMENT 2,18
26,MISCELLANEOUS PENAL LAW,2
26,OFF. AGNST PUB ORD SENSBLTY AND,3
26,OFFENSES AGAINST THE PERSON,1
26,RAPE,1
26,ROBBERY,3
26,SEX CRIMES,7
28,ARSON,1
28,ASSAULT 3 AND RELATED OFFENSES,19
28,FELONY ASSAULT,7
28,HARRASSMENT 2,19
28,OFF. AGNST PUB ORD SENSBLTY AND,1
28,OFFENSES AGAINST THE PERSON,2
28,ROBBERY,3
28,SEX CRIMES,6
30,ASSAULT 3 AND RELATED OFFENSES,21
30,DISORDERLY CONDUCT,1
30,FELONY ASSAULT,10
30,HARRASSMENT 2,20
30,OFF. AGNST PUB ORD SENSBLTY AND,3
30,ROBBERY,5
30,SEX CRIMES,2
32,ASSAULT 3 AND RELATED OFFENSES,7
32,FELONY ASSAULT,5
32,HARRASSMENT 2,15
32,MISCELLANEOUS PENAL LAW,2
32,OFF. AGNST PUB ORD SENSBLTY AND,2
32,ROBBERY,2
32,SEX CRIMES,1
33,ASSAULT 3 AND RELATED OFFENSES,21
33,FELONY ASSAULT,7
33,HARRASSMENT 2,8
33,MISCELLANEOUS PENAL LAW,2
33,MURDER AND NON-NEGL. MANSLAUGHTE,1
33,OFF. AGNST PUB ORD SENSBLTY AND,3
33,OFFENSES AGAINST THE PERSON,2
33,ROBBERY,5
33,SEX CRIMES,2
34,ASSAULT 3 AND RELATED OFFENSES,16
34,FELONY ASSAULT,9
34,HARRASSMENT 2,9
34,MISCELLANEOUS PENAL LAW,1
34,OFF. AGNST PUB ORD SENSBLTY AND,6
34,ROBBERY,9
34,SEX CRIMES,1
40,ASSAULT 3 AND RELATED OFFENSES,46
40,BURGLARY,1
40,DANGEROUS WEAPONS,1
40,DISORDERLY CONDUCT,1
40,FELONY ASSAULT,14
40,HARRASSMENT 2,10
40,MURDER AND NON-NEGL. MANSLAUGHTE,1
40,OFF. AGNST PUB ORD SENSBLTY AND,7
40,OFFENSES AGAINST THE PERSON,3
40,RAPE,1
40,ROBBERY,5
40,SEX CRIMES,14
41,ASSAULT 3 AND RELATED OFFENSES,22
41,FELONY ASSAULT,6
41,HARRASSMENT 2,9
41,MISCELLANEOUS PENAL LAW,3
41,OFF. AGNST PUB ORD SENSBLTY AND,5
41,OFFENSES AGAINST THE PERSON,10
41,ROBBERY,9
41,SEX CRIMES,4
42,ASSAULT 3 AND RELATED OFFENSES,3
42,DISORDERLY CONDUCT,1
42,FELONY ASSAULT,5
42,HARRASSMENT 2,1
42,MISCELLANEOUS PENAL LAW,1
42,ROBBERY,6
42,SEX CRIMES,3
43,ASSAULT 3 AND RELATED OFFENSES,7
43,DANGEROUS WEAPONS,1
43,DISORDERLY CONDUCT,1
43,FELONY ASSAULT,7
43,HARRASSMENT 2,5
43,MISCELLANEOUS PENAL LAW,1
43,OFFENSES AGAINST THE PERSON,9
43,ROBBERY,9
43,SEX CRIMES,6
44,ASSAULT 3 AND RELATED OFFENSES,36
44,DANGEROUS WEAPONS,3
44,FELONY ASSAULT,26
44,HARRASSMENT 2,24
44,MISCELLANEOUS PENAL LAW,1
44,MURDER AND NON-NEGL. MANSLAUGHTE,1
44,OFF. AGNST PUB ORD SENSBLTY AND,6
44,OFFENSES AGAINST THE PERSON,1
44,ROBBERY,5
44,SEX CRIMES,7
45,ASSAULT 3 AND RELATED OFFENSES,5
45,BURGLARY,1
45,DANGEROUS WEAPONS,1
45,FELONY ASSAULT,1
45,HARRASSMENT 2,2
45,OFF. AGNST PUB ORD SENSBLTY AND,1
45,ROBBERY,2
45,SEX CRIMES,1
46,ASSAULT 3 AND RELATED OFFENSES,17
46,DANGEROUS WEAPONS,2
46,FELONY ASSAULT,10
46,HARRASSMENT 2,6
46,MISCELLANEOUS PENAL LAW,5
46,MURDER AND NON-NEGL. MANSLAUGHTE,1
46,OFF. AGNST PUB ORD SENSBLTY AND,6
46,ROBBERY,5
46,SEX CRIMES,2
47,ASSAULT 3 AND RELATED OFFENSES,14
47,FELONY ASSAULT,7
47,HARRASSMENT 2,4
47,OFF. AGNST PUB ORD SENSBLTY AND,4
47,ROBBERY,12
47,SEX CRIMES,4
48,ASSAULT 3 AND RELATED OFFENSES,10
48,DISORDERLY CONDUCT,1
48,FELONY ASSAULT,2
48,HARRASSMENT 2,4
48,MISCELLANEOUS PENAL LAW,1
48,OFFENSES AGAINST THE PERSON,1
48,ROBBERY,5
49,ASSAULT 3 AND RELATED OFFENSES,6
49,DANGEROUS WEAPONS,1
49,FELONY ASSAULT,11
49,HARRASSMENT 2,6
49,ROBBERY,8
49,SEX CRIMES,3
50,ASSAULT 3 AND RELATED OFFENSES,5
50,HARRASSMENT 2,5
50,OFF. AGNST PUB ORD SENSBLTY AND,2
50,SEX CRIMES,1
52,ASSAULT 3 AND RELATED OFFENSES,14
52,DANGEROUS WEAPONS,2
52,DISORDERLY CONDUCT,1
52,FELONY ASSAULT,6
52,HARRASSMENT 2,7
52,MISCELLANEOUS PENAL LAW,1
52,OFF. AGNST PUB ORD SENSBLTY AND,5
52,OFFENSES AGAINST THE PERSON,1
52,ROBBERY,7
52,SEX CRIMES,3
60,ASSAULT 3 AND RELATED OFFENSES,21
60,DANGEROUS WEAPONS,2
60,FELONY ASSAULT,5
60,HARRASSMENT 2,16
60,MISCELLANEOUS PENAL LAW,2
60,MURDER AND NON-NEGL. MANSLAUGHTE,2
60,OFF. AGNST PUB ORD SENSBLTY AND,3
60,OFFENSES AGAINST THE PERSON,1
60,ROBBERY,8
60,SEX CRIMES,1
61,ASSAULT 3 AND RELATED OFFENSES,17
61,DANGEROUS WEAPONS,2
61,FELONY ASSAULT,7
61,HARRASSMENT 2,12
61,OFF. AGNST PUB ORD SENSBLTY AND,1
61,ROBBERY,7
61,SEX CRIMES,3
62,ASSAULT 3 AND RELATED OFFENSES,18
62,FELONY ASSAULT,5
62,HARRASSMENT 2,13
62,MISCELLANEOUS PENAL LAW,1
62,OFF. AGNST PUB ORD SENSBLTY AND,1
62,ROBBERY,5
62,SEX CRIMES,5
66,ASSAULT 3 AND RELATED OFFENSES,8
66,FELONY ASSAULT,3
66,HARRASSMENT 2,3
66,MISCELLANEOUS PENAL LAW,2
66,OFF. AGNST PUB ORD SENSBLTY AND,1
66,ROBBERY,1
66,SEX CRIMES,3
67,ASSAULT 3 AND RELATED OFFENSES,2
67,BURGLARY,1
67,DISORDERLY CONDUCT,1
67,HARRASSMENT 2,5
67,OFF. AGNST PUB ORD SENSBLTY AND,1
67,ROBBERY,1
67,SEX CRIMES,1
68,ASSAULT 3 AND RELATED OFFENSES,14
68,FELONY ASSAULT,1
68,HARRASSMENT 2,5
68,MISCELLANEOUS PENAL LAW,1
68,OFF. AGNST PUB ORD SENSBLTY AND,1
68,ROBBERY,2
68,SEX CRIMES,4
69,ASSAULT 3 AND RELATED OFFENSES,4
69,FELONY ASSAULT,1
69,HARRASSMENT 2,3
69,OFF. AGNST PUB ORD SENSBLTY AND,2
69,OFFENSES AGAINST THE PERSON,1
69,ROBBERY,3
70,ASSAULT 3 AND RELATED OFFENSES,7
70,FELONY ASSAULT,1
70,HARRASSMENT 2,10
70,OFF. AGNST PUB ORD SENSBLTY AND,2
70,ROBBERY,3
70,SEX CRIMES,1
71,ASSAULT 3 AND RELATED OFFENSES,9
71,FELONY ASSAULT,3
71,HARRASSMENT 2,4
71,OFF. AGNST PUB ORD SENSBLTY AND,4
71,OFFENSES AGAINST THE PERSON,1
71,ROBBERY,4
71,SEX CRIMES,2
72,ASSAULT 3 AND RELATED OFFENSES,2
72,FELONY ASSAULT,1
72,HARRASSMENT 2,5
72,MISCELLANEOUS PENAL LAW,2
72,OFFENSES AGAINST THE PERSON,1
72,ROBBERY,1
72,SEX CRIMES,1
73,ASSAULT 3 AND RELATED OFFENSES,9
73,DANGEROUS WEAPONS,6
73,DISORDERLY CONDUCT,2
73,FELONY ASSAULT,4
73,HARRASSMENT 2,3
73,MISCELLANEOUS PENAL LAW,2
73,MURDER AND NON-NEGL. MANSLAUGHTE,1
73,OFF. AGNST PUB ORD SENSBLTY AND,4
73,OFFENSES AGAINST THE PERSON,9
73,ROBBERY,9
73,SEX CRIMES,3
75,ASSAULT 3 AND RELATED OFFENSES,8
75,DANGEROUS WEAPONS,3
75,FELONY ASSAULT,1
75,HARRASSMENT 2,9
75,OFF. AGNST PUB ORD SENSBLTY AND,1
75,OFFENSES AGAINST THE PERSON,3
75,RAPE,1
75,ROBBERY,3
75,SEX CRIMES,4
76,ASSAULT 3 AND RELATED OFFENSES,5
76,FELONY ASSAULT,2
76,HARRASSMENT 2,4
76,MISCELLANEOUS PENAL LAW,3
76,OFFENSES AGAINST THE PERSON,1
76,ROBBERY,1
77,ASSAULT 3 AND RELATED OFFENSES,18
77,DANGEROUS WEAPONS,2
77,DISORDERLY CONDUCT,7
77,FELONY ASSAULT,8
77,HARRASSMENT 2,17
77,MISCELLANEOUS PENAL LAW,1
77,OFF. AGNST PUB ORD SENSBLTY AND,3
77,OFFENSES AGAINST THE PERSON,2
77,ROBBERY,4
77,SEX CRIMES,2
78,ASSAULT 3 AND RELATED OFFENSES,2
78,FELONY ASSAULT,9
78,HARRASSMENT 2,14
78,MISCELLANEOUS PENAL LAW,1
78,OFF. AGNST PUB ORD SENSBLTY AND,2
78,OFFENSES AGAINST THE PERSON,2
78,ROBBERY,2
78,SEX CRIMES,5
79,ASSAULT 3 AND RELATED OFFENSES,9
79,DANGEROUS WEAPONS,1
79,DISORDERLY CONDUCT,1
79,FELONY ASSAULT,2
79,HARRASSMENT 2,16
79,OFF. AGNST PUB ORD SENSBLTY AND,1
79,OFFENSES AGAINST THE PERSON,2
79,ROBBERY,5
79,SEX CRIMES,3
81,ASSAULT 3 AND RELATED OFFENSES,10
81,DANGEROUS WEAPONS,1
81,FELONY ASSAULT,11
81,HARRASSMENT 2,8
81,MISCELLANEOUS PENAL LAW,2
81,MURDER AND NON-NEGL. MANSLAUGHTE,1
81,OFF. AGNST PUB ORD SENSBLTY AND,2
81,ROBBERY,4
81,SEX CRIMES,1
83,ASSAULT 3 AND RELATED OFFENSES,16
83,FELONY ASSAULT,4
83,HARRASSMENT 2,13
83,MISCELLANEOUS PENAL LAW,2
83,OFFENSES AGAINST THE PERSON,4
83,ROBBERY,9
83,SEX CRIMES,4
84,ASSAULT 3 AND RELATED OFFENSES,48
84,BURGLARY,1
84,DANGEROUS WEAPONS,2
84,DISORDERLY CONDUCT,1
84,FELONY ASSAULT,14
84,HARRASSMENT 2,67
84,MISCELLANEOUS PENAL LAW,2
84,OFF. AGNST PUB ORD SENSBLTY AND,10
84,OFFENSES AGAINST THE PERSON,1
84,ROBBERY,7
84,SEX CRIMES,11
88,ASSAULT 3 AND RELATED OFFENSES,10
88,DANGEROUS WEAPONS,1
88,FELONY ASSAULT,2
88,HARRASSMENT 2,12
88,MISCELLANEOUS PENAL LAW,1
88,OFF. AGNST PUB ORD SENSBLTY AND,1
88,ROBBERY,5
88,SEX CRIMES,1
90,ASSAULT 3 AND RELATED OFFENSES,4
90,FELONY ASSAULT,3
90,HARRASSMENT 2,6
90,OFF. AGNST PUB ORD SENSBLTY AND,1
90,OFFENSES AGAINST THE PERSON,1
90,ROBBERY,2
90,SEX CRIMES,1
94,ASSAULT 3 AND RELATED OFFENSES,1
94,FELONY ASSAULT,1
94,HARRASSMENT 2,2
94,OFF. AGNST PUB ORD SENSBLTY AND,1
94,OFFENSES AGAINST THE PERSON,1
94,SEX CRIMES,1
100,ASSAULT 3 AND RELATED OFFENSES,4
100,FELONY ASSAULT,3
100,HARRASSMENT 2,5
100,MISCELLANEOUS PENAL LAW,1
100,OFF. AGNST PUB ORD SENSBLTY AND,2
100,OFFENSES AGAINST THE PERSON,1
100,ROBBERY,3
101,ASSAULT 3 AND RELATED OFFENSES,9
101,FELONY ASSAULT,5
101,HARRASSMENT 2,4
101,OFFENSES AGAINST THE PERSON,1
101,ROBBERY,1
101,SEX CRIMES,1
102,ASSAULT 3 AND RELATED OFFENSES,10
102,FELONY ASSAULT,2
102,HARRASSMENT 2,8
102,MISCELLANEOUS PENAL LAW,1
102,OFF. AGNST PUB ORD SENSBLTY AND,2
102,ROBBERY,6
103,ASSAULT 3 AND RELATED OFFENSES,18
103,DANGEROUS WEAPONS,1
103,DISORDERLY CONDUCT,2
103,FELONY ASSAULT,5
103,HARRASSMENT 2,13
103,OFF. AGNST PUB ORD SENSBLTY AND,3
103,OFFENSES AGAINST THE PERSON,1
103,ROBBERY,2
103,SEX CRIMES,3
104,ASSAULT 3 AND RELATED OFFENSES,12
104,FELONY ASSAULT,3
104,HARRASSMENT 2,3
104,OFF. AGNST PUB ORD SENSBLTY AND,2
104,ROBBERY,10
104,SEX CRIMES,2
106,ASSAULT 3 AND RELATED OFFENSES,13
106,FELONY ASSAULT,4
106,HARRASSMENT 2,2
106,OFFENSES AGAINST THE PERSON,1
106,ROBBERY,9
106,SEX CRIMES,1
107,ARSON,1
107,ASSAULT 3 AND RELATED OFFENSES,11
107,DISORDERLY CONDUCT,1
107,FELONY ASSAULT,14
107,HARRASSMENT 2,15
107,OFF. AGNST PUB ORD SENSBLTY AND,2
107,OFFENSES AGAINST THE PERSON,2
107,RAPE,1
107,ROBBERY,7
107,SEX CRIMES,4
108,ASSAULT 3 AND RELATED OFFENSES,49
108,FELONY ASSAULT,14
108,HARRASSMENT 2,35
108,MISCELLANEOUS PENAL LAW,1
108,OFF. AGNST PUB ORD SENSBLTY AND,7
108,OFFENSES AGAINST THE PERSON,16
108,ROBBERY,15
108,SEX CRIMES,11
109,ASSAULT 3 AND RELATED OFFENSES,5
109,FELONY ASSAULT,2
109,HARRASSMENT 2,4
109,MISCELLANEOUS PENAL LAW,1
109,OFF. AGNST PUB ORD SENSBLTY AND,1
109,OFFENSES AGAINST THE PERSON,4
109,SEX CRIMES,1
110,ASSAULT 3 AND RELATED OFFENSES,27
110,FELONY ASSAULT,9
110,HARRASSMENT 2,17
110,MISCELLANEOUS PENAL LAW,4
110,OFF. AGNST PUB ORD SENSBLTY AND,6
110,OFFENSES AGAINST THE PERSON,29
110,ROBBERY,9
110,SEX CRIMES,13
112,ASSAULT 3 AND RELATED OFFENSES,33
112,FELONY ASSAULT,6
112,HARRASSMENT 2,16
112,MISCELLANEOUS PENAL LAW,2
112,OFF. AGNST PUB ORD SENSBLTY AND,4
112,OFFENSES AGAINST THE PERSON,2
112,ROBBERY,8
112,SEX CRIMES,7
114,ASSAULT 3 AND RELATED OFFENSES,15
114,BURGLARY,3
114,FELONY ASSAULT,5
114,HARRASSMENT 2,14
114,MISCELLANEOUS PENAL LAW,2
114,OFFENSES AGAINST THE PERSON,1
114,ROBBERY,9
114,SEX CRIMES,2
115,ASSAULT 3 AND RELATED OFFENSES,51
115,FELONY ASSAULT,17
115,HARRASSMENT 2,18
115,MISCELLANEOUS PENAL LAW,2
115,OFF. AGNST PUB ORD SENSBLTY AND,4
115,OFFENSES AGAINST THE PERSON,11
115,ROBBERY,8
115,SEX CRIMES,43
